label,ebird_code,scientific_name,matched_ebird_name
ALBERTS TOWHEE,abetow,Melozone aberti,Aberts Towhee
BLACK TAIL CRAKE,bltcra1,Zapornia bicolor,Black Tailed Crake
BLACK THROATED BUSHTIT,blttit2,Aegithalos concinnus,Black Throated Tit
BLACKBURNIAM WARBLER,bkbwar,Setophaga fusca,Blackburnian Warbler
BLONDE CRESTED WOODPECKER,blcwoo4,Celeus flavescens,Blond Crested Woodpecker
BRANDT CORMARANT,bracor,Urile penicillatus,Brandts Cormorant
BROWN CREPPER,brncre,Certhia americana,Brown Creeper
BROWN NOODY,brnnod,Anous stolidus,Brown Noddy
CHESTNET BELLIED EUPHONIA,chbeup1,Euphonia pectoralis,Chestnut Bellied Euphonia
CURL CRESTED ARACURI,cucara1,Pteroglossus beauharnaisii,Curl Crested Aracari
DOUBLE BRESTED CORMARANT,doccor,Nannopterum auritum,Double Crested Cormorant
EARED PITA,earpit1,Hydrornis phayrei,Eared Pitta
EASTERN TOWEE,eastow,Pipilo erythrophthalmus,Eastern Towhee
EASTERN WIP POOR WILL,easwpw1,Antrostomus vociferus,Eastern Whip Poor Will
FIRE TAILLED MYZORNIS,fitmyz1,Myzornis pyrrhoura,Fire Tailed Myzornis
GREATOR SAGE GROUSE,saggro,Centrocercus urophasianus,Greater Sage Grouse
GREY CUCKOOSHRIKE,grycus1,Ceblepyris caesius,Gray Cuckooshrike
GREY HEADED CHACHALACA,grhcha1,Ortalis cinereiceps,Gray Headed Chachalaca
GREY HEADED FISH EAGLE,gyhfie1,Icthyophaga ichthyaetus,Gray Headed Fish Eagle
GROVED BILLED ANI,grbani,Crotophaga sulcirostris,Groove Billed Ani
MANDRIN DUCK,manduc,Aix galericulata,Mandarin Duck
ORANGE BRESTED BUNTING,orbbun1,Passerina leclancherii,Orange Breasted Bunting
PARAKETT  AUKLET,parauk,Aethia psittacula,Parakeet Auklet
RED WISKERED BULBUL,rewbul,Pycnonotus jocosus,Red Whiskered Bulbul
RUDY KINGFISHER,rudkin1,Halcyon coromanda,Ruddy Kingfisher
RUFUOS MOTMOT,rufmot1,Baryphthengus martii,Rufous Motmot
SPOON BILED SANDPIPER,spbsan1,Calidris pygmaea,Spoon Billed Sandpiper
TRUMPTER SWAN,truswa,Cygnus buccinator,Trumpeter Swan
VENEZUELIAN TROUPIAL,ventro1,Icterus icterus,Venezuelan Troupial
VERMILION FLYCATHER,verfly,Pyrocephalus rubinus,Vermilion Flycatcher
WHITE TAILED TROPIC,whttro,Phaethon lepturus,White Tailed Tropicbird
