label,ebird_code,scientific_name
ABBOTTS BABBLER,abbbab1,Malacocincla abbotti
ABBOTTS BOOBY,abbboo2,Papasula abbotti
ABYSSINIAN GROUND HORNBILL,noghor1,Bucorvus abyssinicus
AFRICAN EMERALD CUCKOO,afecuc1,Chrysococcyx cupreus
AFRICAN FIREFINCH,afffin,Lagonosticta rubricata
AFRICAN OYSTER CATCHER,afroys1,Haematopus moquini
AFRICAN PYGMY GOOSE,afrpyg1,Nettapus auritus
ALEXANDRINE PARAKEET,alepar2,Psittacula eupatria
ALTAMIRA YELLOWTHROAT,altyel1,Geothlypis flavovelata
AMERICAN AVOCET,ameavo,Recurvirostra americana
AMERICAN BITTERN,amebit,Botaurus lentiginosus
AMERICAN COOT,y00475,Fulica americana
AMERICAN DIPPER,amedip,Cinclus mexicanus
AMERICAN FLAMINGO,grefla2,Phoenicopterus ruber
AMERICAN GOLDFINCH,amegfi,Spinus tristis
AMERICAN KESTREL,amekes,Falco sparverius
AMERICAN PIPIT,amepip,Anthus rubescens
AMERICAN REDSTART,amered,Setophaga ruticilla
AMERICAN ROBIN,amerob,Turdus migratorius
AMERICAN WIGEON,amewig,Mareca americana
AMETHYST WOODSTAR,amewoo1,Calliphlox amethystina
ANDEAN GOOSE,andgoo1,Oressochen melanopterus
ANDEAN LAPWING,andlap1,Vanellus resplendens
ANDEAN SISKIN,andsis1,Spinus spinescens
ANHINGA,anhing,Anhinga anhinga
ANIANIAU,aniani,Magumma parva
ANNAS HUMMINGBIRD,annhum,Calypte anna
APAPANE,apapan,Himatione sanguinea
APOSTLEBIRD,apostl1,Struthidea cinerea
ARARIPE MANAKIN,araman1,Chiroxiphia bokermanni
ASHY STORM PETREL,asspet,Hydrobates homochroa
ASIAN GREEN BEE EATER,grnbee3,Merops orientalis
AUSTRAL CANASTERO,auscan1,Asthenes anthoides
AUSTRALASIAN FIGBIRD,ausfig1,Sphecotheres vieilloti
AZARAS SPINETAIL,azaspi1,Synallaxis azarae
AZURE BREASTED PITTA,azbpit1,Pitta steerii
AZURE JAY,azujay1,Cyanocorax caeruleus
AZURE TIT,azutit2,Cyanistes cyanus
BAIKAL TEAL,baitea,Sibirionetta formosa
BALD EAGLE,baleag,Haliaeetus leucocephalus
BALTIMORE ORIOLE,balori,Icterus galbula
BANANAQUIT,banana,Coereba flaveola
BAND TAILED GUAN,batgua1,Penelope argyrotis
BANDED BROADBILL,banbro1,Eurylaimus javanicus
BANDED STILT,bansti1,Cladorhynchus leucocephalus
BAR-TAILED GODWIT,batgod,Limosa lapponica
BARN SWALLOW,barswa,Hirundo rustica
BARRED PUFFBIRD,barpuf1,Nystalus radiatus
BARROWS GOLDENEYE,bargol,Bucephala islandica
BAY-BREASTED WARBLER,babwar,Setophaga castanea
BEARDED BARBET,beabar1,Pogonornis dubius
BEARDED BELLBIRD,beabel1,Procnias averano
BEARDED REEDLING,bearee1,Panurus biarmicus
BELTED KINGFISHER,belkin1,Megaceryle alcyon
BLACK AND YELLOW BROADBILL,baybro1,Eurylaimus ochromalus
BLACK BAZA,blabaz1,Aviceda leuphotes
BLACK BREASTED PUFFBIRD,blbpuf1,Notharchus pectoralis
BLACK FACED SPOONBILL,blfspo1,Platalea minor
BLACK FRANCOLIN,blkfra,Francolinus francolinus
BLACK NECKED STILT,bknsti,Himantopus mexicanus
BLACK SKIMMER,blkski,Rynchops niger
BLACK SWAN,blkswa,Cygnus atratus
BLACK VENTED SHEARWATER,bkvshe,Puffinus opisthomelas
BLACK VULTURE,blkvul,Coragyps atratus
BLACK-CAPPED CHICKADEE,bkcchi,Poecile atricapillus
BLACK-THROATED SPARROW,bktspa,Amphispiza bilineata
BLOOD PHEASANT,blophe1,Ithaginis cruentus
BLUE DACNIS,bludac1,Dacnis cayana
BLUE GRAY GNATCATCHER,buggna,Polioptila caerulea
BLUE GROSBEAK,blugrb1,Passerina caerulea
BLUE MALKOHA,yellow5,Ceuthmochares aereus
BLUE THROATED PIPING GUAN,butpig1,Pipile cumanensis
BOBOLINK,boboli,Dolichonyx oryzivorus
BORNEAN BRISTLEHEAD,borbri1,Pityriasis gymnocephala
BORNEAN LEAFBIRD,borlea1,Chloropsis kinabaluensis
BREWERS BLACKBIRD,brebla,Euphagus cyanocephalus
BROWN HEADED COWBIRD,bnhcow,Molothrus ater
BROWN THRASHER,brnthr,Toxostoma rufum
BUFFLEHEAD,buffle,Bucephala albeola
BULWERS PHEASANT,bulphe1,Lophura bulweri
BURCHELLS COURSER,burcou2,Cursorius rufus
CAATINGA CACHOLOTE,caacac1,Pseudoseisura cristata
CABOTS TRAGOPAN,cabtra1,Tragopan caboti
CACTUS WREN,cacwre,Campylorhynchus brunneicapillus
CALIFORNIA CONDOR,calcon,Gymnogyps californianus
CALIFORNIA GULL,calgul,Larus californicus
CALIFORNIA QUAIL,calqua,Callipepla californica
CAMPO FLICKER,camfli1,Colaptes campestris
CANVASBACK,canvas,Aythya valisineria
CAPE MAY WARBLER,camwar,Setophaga tigrina
CAPE ROCK THRUSH,carthr1,Monticola rupestris
CAPPED HERON,capher1,Pilherodius pileatus
CAPUCHINBIRD,capuch1,Perissocephalus tricolor
CASPIAN TERN,caster1,Hydroprogne caspia
CEDAR WAXWING,cedwax,Bombycilla cedrorum
CERULEAN WARBLER,cerwar,Setophaga cerulea
CHATTERING LORY,chalor1,Lorius garrulus
CHESTNUT WINGED CUCKOO,chwcuc1,Clamator coromandus
CHINESE BAMBOO PARTRIDGE,chbpar3,Bambusicola thoracicus
CHINESE POND HERON,chpher1,Ardeola bacchus
CHIPPING SPARROW,chispa,Spizella passerina
CHUCAO TAPACULO,chutap1,Scelorchilus rubecula
CINNAMON ATTILA,cinatt1,Attila cinnamomeus
CINNAMON FLYCATCHER,cinfly2,Pyrrhomyias cinnamomeus
CINNAMON TEAL,cintea,Spatula cyanoptera
CLARKS GREBE,clagre,Aechmophorus clarkii
CLARKS NUTCRACKER,clanut,Nucifraga columbiana
COLLARED ARACARI,colara2,Pteroglossus torquatus
COLLARED CRESCENTCHEST,colcre1,Melanopareia torquata
COMMON FIRECREST,firecr1,Regulus ignicapilla
COMMON GRACKLE,comgra,Quiscalus quiscula
COMMON IORA,comior1,Aegithina tiphia
COMMON LOON,comloo,Gavia immer
COMMON POORWILL,compoo,Phalaenoptilus nuttallii
COPPERSMITH BARBET,copbar1,Psilopogon haemacephalus
COPPERY TAILED COUCAL,cotcou1,Centropus cupreicaudus
CRAB PLOVER,craplo1,Dromas ardeola
CRANE HAWK,crahaw,Geranospiza caerulescens
CREAM COLORED WOODPECKER,crcwoo2,Celeus flavus
CRESTED AUKLET,creauk,Aethia cristatella
CRESTED CARACARA,y00678,Caracara plancus
CRESTED COUA,crecou1,Coua cristata
CRESTED KINGFISHER,crekin1,Megaceryle lugubris
CRESTED OROPENDOLA,creoro1,Psarocolius decumanus
CRESTED SERPENT EAGLE,crseag1,Spilornis cheela
CRIMSON CHAT,cricha1,Epthianura tricolor
CRIMSON SUNBIRD,eacsun1,Aethopyga siparaja
CUBAN TODY,cubtod1,Todus multicolor
CUBAN TROGON,cubtro1,Priotelus temnurus
D-ARNAUDS BARBET,darbar1,Trachyphonus darnaudii
DALMATIAN PELICAN,dalpel1,Pelecanus crispus
DARJEELING WOODPECKER,darwoo1,Dendrocopos darjellensis
DARK EYED JUNCO,daejun,Junco hyemalis
DAURIAN REDSTART,daured1,Phoenicurus auroreus
DEMOISELLE CRANE,demcra1,Grus virgo
