label,ebird_code,scientific_name
acanthis flammea,redpol1,acanthis flammea
accipiter nisus,eurspa1,accipiter nisus
acridotheres tristis,commyn,acridotheres tristis
acrocephalus arundinaceus,grrwar1,acrocephalus arundinaceus
acrocephalus palustris,marwar3,acrocephalus palustris
acrocephalus schoenobaenus,sedwar1,acrocephalus schoenobaenus
acrocephalus scirpaceus,eurwar1,acrocephalus scirpaceus
actitis hypoleucos,comsan,actitis hypoleucos
aegithalos caudatus,lottit1,aegithalos caudatus
agelaius phoeniceus,rewbla,agelaius phoeniceus
aix galericulata,manduc,aix galericulata
aix sponsa,wooduc,aix sponsa
alauda arvensis,skylar,alauda arvensis
alca torda,razorb,alca torda
alcedo atthis,comkin1,alcedo atthis
alle alle,doveki,alle alle
alopochen aegyptiaca,egygoo,alopochen aegyptiaca
anas acuta,norpin,anas acuta
anas crecca,gnwtea,anas crecca
anas platyrhynchos,mallar3,anas platyrhynchos
anser albifrons,gwfgoo,anser albifrons
anser anser,gragoo,anser anser
anser anser x branta canadensis,gragoo,anser anser x branta canadensis
anser brachyrhynchus,pifgoo,anser brachyrhynchus
anser cygnoides,swagoo1,anser cygnoides
anser fabalis,taibeg1,anser fabalis
anser indicus,bahgoo,anser indicus
anser serrirostris,tunbeg1,anser serrirostris
anthus berthelotii,berpip1,anthus berthelotii
anthus petrosus,rocpip1,anthus petrosus
anthus pratensis,meapip1,anthus pratensis
anthus spinoletta,watpip1,anthus spinoletta
anthus trivialis,trepip,anthus trivialis
apus apus,comswi,apus apus
aquila chrysaetos,goleag,aquila chrysaetos
ardea alba,greegr,ardea alba
ardea cinerea,graher1,ardea cinerea
ardea herodias,grbher3,ardea herodias
ardea purpurea,purher1,ardea purpurea
ardeola ralloides,squher1,ardeola ralloides
arenaria interpres,rudtur,arenaria interpres
asio flammeus,sheowl,asio flammeus
asio otus,loeowl,asio otus
athene noctua,litowl1,athene noctua
aythya collaris,rinduc,aythya collaris
aythya ferina,compoc,aythya ferina
aythya fuligula,tufduc,aythya fuligula
aythya marila,gresca,aythya marila
aythya nyroca,ferduc,aythya nyroca
baeolophus bicolor,tuftit,baeolophus bicolor
bombycilla cedrorum,cedwax,bombycilla cedrorum
bombycilla garrulus,bohwax,bombycilla garrulus
bostrychia hagedash,hadibi1,bostrychia hagedash
botaurus stellaris,grebit1,botaurus stellaris
branta bernicla,brant,branta bernicla
branta canadensis,cangoo,branta canadensis
branta leucopsis,bargoo,branta leucopsis
branta ruficollis,rebgoo1,branta ruficollis
bubo bubo,eueowl1,bubo bubo
bucephala albeola,buffle,bucephala albeola
bucephala clangula,comgol,bucephala clangula
buteo buteo,combuz1,buteo buteo
buteo jamaicensis,rethaw,buteo jamaicensis
buteo lagopus,rolhaw,buteo lagopus
buteo lineatus,reshaw,buteo lineatus
butorides striata,strher2,butorides striata
butorides virescens,grnher,butorides virescens
cairina moschata,musduc,cairina moschata
calidris alba,sander,calidris alba
calidris alpina,dunlin,calidris alpina
calidris canutus,redkno,calidris canutus
calidris ferruginea,cursan,calidris ferruginea
calidris maritima,pursan,calidris maritima
calidris minuta,litsti,calidris minuta
calidris pugnax,ruff,calidris pugnax
callonetta leucophrys,rintea1,callonetta leucophrys
calypte anna,annhum,calypte anna
cardinalis cardinalis,norcar,cardinalis cardinalis
carduelis carduelis,eurgol,carduelis carduelis
carpodacus erythrinus,comros,carpodacus erythrinus
cathartes aura,turvul,cathartes aura
cecropis daurica,y00621,cecropis daurica
cepphus grylle,blkgui,cepphus grylle
