step,lr,loss_qfl,loss_bbox,loss_dfl,aux_loss_qfl,aux_loss_bbox,aux_loss_dfl
0,0.0,1.071187,1.529827,0.52107,1.079015,0.82725,0.318359
50,0.0001,1.454733,1.370806,0.503459,0.943684,0.533859,0.221323
100,0.0002,1.029179,0.956212,0.441681,0.598106,0.36634,0.191436
150,0.0003,0.584499,0.647868,0.373981,0.543115,0.338499,0.20219
200,0.0004,0.582439,0.626965,0.318246,0.535772,0.389182,0.208796
250,0.0005,0.522933,0.575359,0.303731,0.508249,0.413388,0.211886
300,0.0006,0.538148,0.463298,0.261219,0.466634,0.363894,0.215355
350,0.0007,0.531348,0.511281,0.264577,0.498572,0.388901,0.207681
400,0.0008,0.596032,0.465857,0.245874,0.549051,0.371231,0.20618
450,0.0009,0.60849,0.447874,0.236737,0.566125,0.361939,0.204836
500,0.001,0.635185,0.486545,0.244644,0.536898,0.421548,0.20856
550,0.001,0.527153,0.431178,0.224967,0.48687,0.362126,0.199932
600,0.001,0.533929,0.482147,0.249579,0.513512,0.406072,0.223619
650,0.001,0.522634,0.397343,0.219969,0.462603,0.349654,0.19467
700,0.001,0.585631,0.364877,0.215677,0.524559,0.318934,0.194867
750,0.000997,0.474849,0.456144,0.229624,0.438056,0.413104,0.207521
800,0.000997,0.462638,0.453303,0.217422,0.410979,0.383439,0.196806
850,0.000997,0.458229,0.48326,0.222571,0.430088,0.411645,0.200812
900,0.000997,0.547505,0.479399,0.245586,0.529285,0.434943,0.23039
950,0.000997,0.462944,0.541184,0.241089,0.438382,0.50421,0.226852
1000,0.000997,0.509976,0.444834,0.222701,0.476852,0.40422,0.205764
1050,0.000997,0.493492,0.426192,0.218749,0.452285,0.365433,0.198263
1100,0.000997,0.498812,0.450365,0.230675,0.492634,0.397562,0.209576
1150,0.000997,0.523122,0.431304,0.22192,0.481322,0.389105,0.207958
1200,0.000997,0.5581,0.36746,0.206212,0.511296,0.334371,0.191182
1250,0.000997,0.462432,0.485548,0.221208,0.447516,0.441713,0.21132
1300,0.000997,0.509714,0.430568,0.224404,0.4613,0.367851,0.204347
1350,0.000997,0.57189,0.451911,0.230422,0.556718,0.377841,0.204177
1400,0.000997,0.47209,0.395763,0.220519,0.423763,0.339549,0.20035
1450,0.00099,0.437211,0.491141,0.21874,0.408013,0.441695,0.207438
1500,0.00099,0.472489,0.393801,0.217594,0.451637,0.357006,0.200549
1550,0.00099,0.486124,0.425726,0.218897,0.449887,0.372192,0.202411
1600,0.00099,0.485146,0.427515,0.222585,0.45,0.379707,0.209339
1650,0.00099,0.423864,0.461811,0.221126,0.383652,0.421801,0.208183
1700,0.00099,0.447275,0.420656,0.215487,0.418852,0.380477,0.201171
1750,0.00099,0.437671,0.495761,0.241797,0.403485,0.445708,0.226545
1800,0.00099,0.536949,0.393751,0.224924,0.525743,0.343837,0.209946
1850,0.00099,0.548609,0.398012,0.206822,0.512025,0.348261,0.192163
1900,0.00099,0.437561,0.377213,0.203978,0.407142,0.358204,0.194716
1950,0.00099,0.527017,0.453252,0.231801,0.492372,0.403032,0.209453
2000,0.00099,0.482221,0.424743,0.211911,0.446698,0.366273,0.19401
2050,0.00099,0.492896,0.404996,0.212882,0.470551,0.380075,0.20052
2100,0.00099,0.430179,0.420782,0.223462,0.406068,0.378298,0.209046
2150,0.000977,0.440119,0.444516,0.225276,0.422439,0.38115,0.2051
2200,0.000977,0.526014,0.409987,0.21465,0.477186,0.370403,0.199013
2250,0.000977,0.427344,0.416977,0.214313,0.403956,0.369134,0.19976
2300,0.000977,0.394086,0.432395,0.229056,0.386441,0.396429,0.220551
2350,0.000977,0.519001,0.380332,0.193241,0.481295,0.347339,0.181411
2400,0.000977,0.523736,0.432787,0.231274,0.505598,0.409149,0.220289
2450,0.000977,0.484702,0.368823,0.202085,0.442714,0.323592,0.189728
2500,0.000977,0.442215,0.401148,0.210883,0.407888,0.369165,0.194967
2550,0.000977,0.417114,0.401253,0.210643,0.365633,0.359242,0.194087
2600,0.000977,0.449094,0.439427,0.226311,0.472409,0.393961,0.214729
2650,0.000977,0.423014,0.418143,0.214231,0.373993,0.368653,0.199558
2700,0.000977,0.475257,0.374566,0.20348,0.434375,0.327096,0.187344
2750,0.000977,0.424554,0.444168,0.220139,0.375144,0.390521,0.20527
2800,0.000977,0.438732,0.478881,0.226641,0.410231,0.413326,0.205352
2850,0.000959,0.379138,0.391299,0.2014,0.337103,0.330139,0.185072
2900,0.000959,0.449057,0.438835,0.221495,0.411195,0.39436,0.209183
2950,0.000959,0.43114,0.472768,0.224612,0.391037,0.4392,0.208793
3000,0.000959,0.468777,0.37135,0.202106,0.40812,0.337838,0.190819
3050,0.000959,0.525408,0.375742,0.211966,0.47127,0.358123,0.207583
3100,0.000959,0.44549,0.454318,0.239258,0.410093,0.416625,0.226125
3150,0.000959,0.339256,0.511493,0.238384,0.333697,0.419959,0.219225
3200,0.000959,0.406275,0.328606,0.188893,0.370996,0.298107,0.181774
3250,0.000959,0.445647,0.382708,0.214181,0.40922,0.350807,0.200118
3300,0.000959,0.450721,0.424928,0.209177,0.418802,0.383386,0.194197
3350,0.000959,0.424604,0.43733,0.211068,0.402344,0.392674,0.197338
3400,0.000959,0.371053,0.399836,0.202504,0.375271,0.371113,0.193184
3450,0.000959,0.422586,0.503025,0.22156,0.391506,0.452496,0.211699
3500,0.000959,0.456037,0.376191,0.212553,0.408973,0.331156,0.198143
3550,0.000959,0.445487,0.394904,0.211988,0.41739,0.354152,0.194918
3600,0.000936,0.411157,0.405437,0.202531,0.398799,0.352424,0.18301
3650,0.000936,0.406314,0.439592,0.215946,0.378904,0.400867,0.204235
3700,0.000936,0.423574,0.386196,0.20672,0.379631,0.332407,0.186091
3750,0.000936,0.506941,0.396055,0.210543,0.459313,0.355739,0.198923
3800,0.000936,0.459387,0.340972,0.187586,0.425503,0.30402,0.177113
3850,0.000936,0.457866,0.42664,0.204932,0.412725,0.374324,0.192561
3900,0.000936,0.494459,0.459531,0.23728,0.446763,0.41067,0.215585
3950,0.000936,0.476017,0.391771,0.201388,0.418668,0.343092,0.185779
4000,0.000936,0.48835,0.445488,0.226636,0.44581,0.394737,0.207813
4050,0.000936,0.429309,0.406648,0.210503,0.406704,0.376,0.200104
4100,0.000936,0.448185,0.390194,0.204425,0.419003,0.34711,0.190934
4150,0.000936,0.393497,0.389942,0.200261,0.367592,0.368183,0.194478
4200,0.000936,0.397459,0.435474,0.218331,0.380281,0.39119,0.203531
4250,0.000936,0.398781,0.437542,0.21859,0.373404,0.385139,0.205815
4300,0.000909,0.450525,0.409256,0.238389,0.411547,0.375934,0.222189
4350,0.000909,0.489998,0.378575,0.216633,0.459176,0.3288,0.198441
4400,0.000909,0.415916,0.42198,0.217736,0.370367,0.374077,0.20572
4450,0.000909,0.355142,0.46023,0.208982,0.328205,0.409842,0.193444
4500,0.000909,0.488849,0.390172,0.205484,0.46871,0.348739,0.192568
4550,0.000909,0.518402,0.431608,0.22922,0.480097,0.388183,0.216243
4600,0.000909,0.452326,0.408684,0.228472,0.416381,0.363641,0.216513
4650,0.000909,0.486537,0.459728,0.229953,0.456195,0.434535,0.219209
4700,0.000909,0.382111,0.433872,0.208195,0.357029,0.394444,0.194746
4750,0.000909,0.431109,0.421086,0.207978,0.38364,0.38505,0.198385
4800,0.000909,0.446234,0.360914,0.213705,0.403281,0.327148,0.203065
4850,0.000909,0.510542,0.383724,0.205289,0.463601,0.348776,0.197691
4900,0.000909,0.456434,0.459992,0.227624,0.41896,0.409075,0.21315
4950,0.000909,0.507958,0.336612,0.198794,0.46966,0.289967,0.18242
5000,0.000878,0.390725,0.418915,0.199634,0.355927,0.372784,0.18596
5050,0.000878,0.428316,0.407644,0.192615,0.396634,0.369547,0.182806
5100,0.000878,0.424344,0.365995,0.203239,0.369118,0.321236,0.187975
5150,0.000878,0.466378,0.474178,0.239936,0.409609,0.431962,0.229954
5200,0.000878,0.406187,0.410874,0.217927,0.368308,0.368167,0.212025
5250,0.000878,0.45769,0.410237,0.210671,0.43471,0.354576,0.191415
5300,0.000878,0.449098,0.439918,0.209429,0.424358,0.394233,0.195676
5350,0.000878,0.384112,0.402904,0.205869,0.343814,0.371668,0.198555
5400,0.000878,0.432533,0.407086,0.217874,0.403929,0.36616,0.205795
5450,0.000878,0.41544,0.413059,0.201695,0.401461,0.353194,0.187676
5500,0.000878,0.363342,0.381277,0.198909,0.337205,0.342701,0.18734
5550,0.000878,0.467377,0.381901,0.233739,0.456451,0.337136,0.217887
5600,0.000878,0.43355,0.344325,0.198389,0.396769,0.316726,0.188447
5650,0.000878,0.448348,0.439583,0.220415,0.421637,0.395109,0.208705
5700,0.000843,0.374539,0.396303,0.211506,0.333217,0.344803,0.195042
5750,0.000843,0.37054,0.37152,0.20638,0.324165,0.348857,0.197376
5800,0.000843,0.398548,0.385193,0.201127,0.359079,0.363017,0.191592
5850,0.000843,0.299842,0.346261,0.184744,0.286331,0.316395,0.176102
5900,0.000843,0.41666,0.389736,0.196697,0.36883,0.337793,0.182168
5950,0.000843,0.382446,0.370369,0.194105,0.362785,0.325533,0.181966
6000,0.000843,0.432916,0.38347,0.209168,0.405183,0.336959,0.193051
6050,0.000843,0.452321,0.383436,0.199531,0.405757,0.347427,0.187148
6100,0.000843,0.404911,0.39647,0.210557,0.355476,0.360155,0.197128
6150,0.000843,0.430022,0.380359,0.199096,0.384808,0.349715,0.186657
6200,0.000843,0.372766,0.40563,0.21465,0.338113,0.364582,0.199843
6250,0.000843,0.463872,0.392682,0.195728,0.417068,0.358497,0.182
6300,0.000843,0.512279,0.445247,0.227763,0.458448,0.398671,0.211991
6350,0.000843,0.387379,0.496228,0.231316,0.37179,0.453029,0.218085
6400,0.000804,0.36566,0.424075,0.217513,0.340354,0.386634,0.206511
6450,0.000804,0.377811,0.462624,0.213448,0.36317,0.428293,0.208409
6500,0.000804,0.371654,0.424803,0.205181,0.352069,0.393116,0.194681
6550,0.000804,0.377672,0.378949,0.200106,0.348639,0.357625,0.19147
6600,0.000804,0.411856,0.39631,0.208828,0.373475,0.377514,0.20076
6650,0.000804,0.362342,0.387761,0.204935,0.333884,0.330623,0.18465
6700,0.000804,0.371318,0.423888,0.203815,0.35182,0.392555,0.192723
6750,0.000804,0.409005,0.353514,0.207633,0.371544,0.321823,0.192911
6800,0.000804,0.412178,0.396731,0.212738,0.373844,0.361174,0.196607
6850,0.000804,0.472526,0.357422,0.200812,0.438331,0.320692,0.18902
6900,0.000804,0.452939,0.326066,0.186306,0.403916,0.301423,0.17868
6950,0.000804,0.336106,0.405292,0.214282,0.306899,0.34504,0.200013
7000,0.000804,0.398144,0.444906,0.203543,0.372748,0.41163,0.198242
7050,0.000804,0.401938,0.400216,0.20611,0.376581,0.383074,0.199581
7100,0.000804,0.458362,0.358149,0.189702,0.391127,0.336228,0.179168
7150,0.000762,0.382514,0.439139,0.208851,0.334634,0.39989,0.191424
7200,0.000762,0.411711,0.413535,0.22478,0.383478,0.381662,0.212709
7250,0.000762,0.378977,0.334969,0.187912,0.327481,0.297583,0.178171
7300,0.000762,0.420219,0.381364,0.20654,0.378512,0.348817,0.195766
7350,0.000762,0.387382,0.402596,0.191998,0.351182,0.368618,0.181564
7400,0.000762,0.394453,0.387763,0.210773,0.350931,0.357471,0.201201
7450,0.000762,0.433036,0.29259,0.182556,0.409682,0.273938,0.179632
7500,0.000762,0.3875,0.332398,0.192304,0.342141,0.307443,0.18697
7550,0.000762,0.415363,0.396564,0.203231,0.380071,0.354995,0.193547
7600,0.000762,0.375041,0.442188,0.20438,0.333383,0.361292,0.185129
7650,0.000762,0.473739,0.34676,0.191728,0.46794,0.311851,0.181328
7700,0.000762,0.370359,0.379469,0.193182,0.335963,0.347178,0.182711
7750,0.000762,0.392347,0.407123,0.228828,0.352319,0.379061,0.221377
7800,0.000762,0.415026,0.30201,0.17564,0.372935,0.268908,0.164008
7850,0.000718,0.402622,0.390686,0.207624,0.374167,0.362054,0.202269
7900,0.000718,0.407933,0.368381,0.207781,0.347337,0.327142,0.19475
7950,0.000718,0.395894,0.3551,0.196369,0.3702,0.326282,0.191601
8000,0.000718,0.463999,0.363828,0.201911,0.403292,0.338861,0.190676
8050,0.000718,0.405428,0.369874,0.208971,0.372531,0.341973,0.200739
8100,0.000718,0.335527,0.352457,0.18935,0.319651,0.32529,0.177835
8150,0.000718,0.442911,0.378562,0.210086,0.408548,0.34382,0.199252
8200,0.000718,0.394149,0.424213,0.22687,0.359728,0.386511,0.2105
8250,0.000718,0.304532,0.383585,0.197577,0.279417,0.350222,0.186497
8300,0.000718,0.417462,0.372314,0.20212,0.368036,0.333845,0.188755
8350,0.000718,0.346742,0.398346,0.197685,0.314535,0.356966,0.187749
8400,0.000718,0.381918,0.389667,0.20515,0.335948,0.357039,0.192262
8450,0.000718,0.384109,0.357945,0.202802,0.334371,0.33409,0.192102
8500,0.000718,0.392129,0.403258,0.219193,0.358636,0.372289,0.207412
8550,0.000672,0.381258,0.395951,0.213004,0.360622,0.363735,0.203942
8600,0.000672,0.356465,0.375206,0.18785,0.322378,0.348856,0.181777
8650,0.000672,0.385899,0.386289,0.21473,0.344706,0.358509,0.20559
8700,0.000672,0.397601,0.369257,0.20528,0.375782,0.332883,0.190728
8750,0.000672,0.334398,0.401144,0.20984,0.300718,0.376895,0.203143
8800,0.000672,0.382263,0.367691,0.208363,0.33894,0.341196,0.197442
8850,0.000672,0.396622,0.359787,0.202916,0.377443,0.334959,0.192897
8900,0.000672,0.456667,0.408423,0.207746,0.424301,0.375649,0.194995
8950,0.000672,0.296732,0.374194,0.194871,0.263424,0.334385,0.184337
9000,0.000672,0.400046,0.347087,0.197609,0.362611,0.320657,0.18972
9050,0.000672,0.36731,0.418594,0.200744,0.341743,0.387927,0.19183
9100,0.000672,0.395801,0.414145,0.215986,0.363521,0.37659,0.201675
9150,0.000672,0.391263,0.411567,0.211485,0.355308,0.373483,0.198878
9200,0.000672,0.375913,0.33978,0.194907,0.31522,0.304042,0.183606
9250,0.000624,0.413429,0.361368,0.195657,0.392763,0.33037,0.184379
9300,0.000624,0.345188,0.442713,0.196459,0.302431,0.395549,0.184619
9350,0.000624,0.382026,0.314084,0.173577,0.361978,0.288689,0.167141
9400,0.000624,0.375275,0.301899,0.19569,0.325868,0.265413,0.183849
9450,0.000624,0.380015,0.339103,0.201172,0.355112,0.325784,0.194025
9500,0.000624,0.40848,0.368962,0.212061,0.344519,0.339276,0.197705
9550,0.000624,0.503119,0.373602,0.211776,0.445152,0.343402,0.200712
9600,0.000624,0.360999,0.366758,0.199274,0.321847,0.32585,0.186847
9650,0.000624,0.441961,0.405827,0.221156,0.385337,0.368695,0.210963
9700,0.000624,0.401012,0.386736,0.205265,0.374284,0.352936,0.19246
9750,0.000624,0.418855,0.356929,0.188132,0.379469,0.328518,0.180133
9800,0.000624,0.353872,0.32691,0.190385,0.32385,0.311009,0.183184
9850,0.000624,0.357325,0.381227,0.21213,0.308801,0.348142,0.200236
9900,0.000624,0.419058,0.353293,0.190534,0.3621,0.310794,0.179802
9950,0.000624,0.399925,0.344107,0.202763,0.357293,0.307268,0.192082
10000,0.000575,0.449037,0.470176,0.224447,0.391482,0.436882,0.214334
10050,0.000575,0.420155,0.393452,0.21774,0.37748,0.351365,0.201903
10100,0.000575,0.396115,0.356109,0.212781,0.376541,0.3144,0.19601
10150,0.000575,0.353812,0.395654,0.207132,0.327676,0.355611,0.198438
10200,0.000575,0.402823,0.433643,0.222414,0.366688,0.3885,0.20648
10250,0.000575,0.379545,0.443095,0.213886,0.34616,0.410031,0.199617
10300,0.000575,0.470108,0.394884,0.221166,0.449598,0.349375,0.204616
10350,0.000575,0.370617,0.357683,0.197314,0.315321,0.33234,0.184405
10400,0.000575,0.391194,0.324512,0.188545,0.344955,0.312507,0.183116
10450,0.000575,0.364028,0.301447,0.176596,0.298546,0.278307,0.167917
10500,0.000575,0.393181,0.447336,0.212309,0.342312,0.403055,0.199181
10550,0.000575,0.361275,0.35599,0.207455,0.32068,0.319959,0.193574
10600,0.000575,0.469377,0.355922,0.210198,0.418099,0.330515,0.199362
10650,0.000575,0.414908,0.345872,0.210972,0.37219,0.341263,0.203058
10700,0.000525,0.435061,0.397058,0.212982,0.407942,0.370976,0.200978
10750,0.000525,0.346427,0.311256,0.175505,0.311537,0.28731,0.168559
10800,0.000525,0.339216,0.400476,0.208151,0.310052,0.353448,0.191045
10850,0.000525,0.360682,0.412701,0.208961,0.338357,0.390286,0.198109
10900,0.000525,0.385772,0.357235,0.189274,0.374471,0.33272,0.181007
10950,0.000525,0.346818,0.303055,0.164853,0.304711,0.282735,0.158769
11000,0.000525,0.370942,0.353943,0.197896,0.333964,0.331222,0.187825
11050,0.000525,0.320866,0.357539,0.192387,0.287452,0.319941,0.182428
11100,0.000525,0.38156,0.367267,0.196229,0.324848,0.346503,0.190075
11150,0.000525,0.40241,0.318049,0.183298,0.366247,0.295494,0.176857
11200,0.000525,0.36922,0.342042,0.183563,0.339027,0.318286,0.177435
11250,0.000525,0.430136,0.379388,0.202597,0.375898,0.35815,0.191501
11300,0.000525,0.387711,0.361867,0.203371,0.343582,0.336387,0.197865
11350,0.000525,0.450541,0.367115,0.197925,0.409247,0.335992,0.187995
11400,0.000475,0.374308,0.367358,0.208474,0.336731,0.336653,0.195361
11450,0.000475,0.367919,0.3659,0.192775,0.340357,0.340175,0.186007
11500,0.000475,0.298266,0.366438,0.197393,0.283911,0.339935,0.190661
11550,0.000475,0.338401,0.31278,0.177119,0.297881,0.280647,0.168091
11600,0.000475,0.412648,0.436935,0.211718,0.36909,0.404921,0.200522
11650,0.000475,0.32641,0.395198,0.198296,0.301879,0.361678,0.186778
11700,0.000475,0.362651,0.347564,0.18573,0.33306,0.327054,0.181308
11750,0.000475,0.371619,0.354796,0.186091,0.341863,0.332036,0.177808
11800,0.000475,0.359083,0.349528,0.190484,0.327774,0.327422,0.184095
11850,0.000475,0.369952,0.317346,0.194332,0.334741,0.292975,0.184006
11900,0.000475,0.389177,0.404159,0.199001,0.358712,0.360964,0.18523
11950,0.000475,0.36835,0.365301,0.201635,0.338623,0.344299,0.18844
12000,0.000475,0.371325,0.307101,0.181738,0.321131,0.272918,0.170393
12050,0.000475,0.380602,0.392149,0.202588,0.338188,0.354451,0.189013
12100,0.000426,0.393115,0.312704,0.19049,0.362224,0.28587,0.177983
12150,0.000426,0.349925,0.318194,0.196703,0.311084,0.300005,0.188443
12200,0.000426,0.37126,0.351397,0.196513,0.342849,0.325867,0.189914
12250,0.000426,0.403989,0.356918,0.202336,0.342487,0.329687,0.193171
12300,0.000426,0.348307,0.336508,0.188171,0.324315,0.308098,0.177902
12350,0.000426,0.332296,0.324481,0.202073,0.30195,0.306638,0.195406
12400,0.000426,0.374843,0.360941,0.202944,0.36109,0.338587,0.196157
12450,0.000426,0.379773,0.329326,0.18545,0.331736,0.293962,0.173153
12500,0.000426,0.314746,0.35453,0.197655,0.275968,0.336157,0.192419
12550,0.000426,0.385344,0.401498,0.193476,0.316893,0.373835,0.186869
12600,0.000426,0.380333,0.447465,0.208237,0.351542,0.40909,0.196006
12650,0.000426,0.36104,0.313517,0.189013,0.319834,0.293151,0.182696
12700,0.000426,0.401961,0.40421,0.223134,0.339738,0.360171,0.206984
12750,0.000426,0.419727,0.331395,0.183765,0.382896,0.307344,0.173882
12800,0.000378,0.37228,0.372737,0.201139,0.337771,0.340659,0.190001
12850,0.000378,0.348387,0.393116,0.213721,0.303782,0.353233,0.200982
12900,0.000378,0.416233,0.311904,0.187197,0.384063,0.280992,0.178093
12950,0.000378,0.410411,0.362936,0.206995,0.36138,0.339014,0.196546
13000,0.000378,0.407053,0.35571,0.199327,0.372197,0.329555,0.188788
13050,0.000378,0.285624,0.418255,0.206564,0.256744,0.380219,0.196986
