epoch,class,AP50,mAP
10,bird,54.1,32.1
10,squirrel,73.3,51.2
10,cat,76.4,54.2
10,person,34.3,16.9
10,other_animal,71.2,49.9
20,bird,58.5,35.2
20,squirrel,81.1,59.0
20,cat,82.4,60.9
20,person,37.5,18.9
20,other_animal,76.1,54.6
30,bird,59.5,35.9
30,squirrel,82.8,59.4
30,cat,84.3,63.2
30,person,38.7,19.5
30,other_animal,78.1,56.1
40,bird,60.6,36.4
40,squirrel,83.9,61.1
40,cat,85.2,64.4
40,person,39.5,19.9
40,other_animal,79.3,57.6
50,bird,61.2,36.9
50,squirrel,85.5,62.8
50,cat,85.9,65.2
50,person,39.9,20.2
50,other_animal,80.6,58.9
60,bird,61.6,37.2
60,squirrel,86.0,64.2
60,cat,86.7,65.8
60,person,41.0,20.8
60,other_animal,81.6,59.9
70,bird,61.6,37.3
70,squirrel,86.4,64.1
70,cat,86.3,65.7
70,person,41.7,21.3
70,other_animal,82.1,60.5
