step,epoch,loss_qfl,loss_bbox,loss_dfl
1,1,0.9493,1.5109,0.5194
51,1,1.3498,1.3979,0.5037
101,1,0.9098,0.8459,0.4304
151,1,0.6498,0.6884,0.3841
201,1,0.5847,0.5183,0.3215
251,1,0.5381,0.5533,0.3066
301,1,0.618,0.4997,0.272
351,1,0.5816,0.4099,0.2451
401,1,0.5052,0.4954,0.2515
451,1,0.4998,0.4625,0.2474
501,1,0.4307,0.5529,0.2493
551,1,0.6359,0.4439,0.2299
601,1,0.5005,0.3746,0.2147
651,1,0.5243,0.4464,0.2173
701,1,0.5552,0.3764,0.2176
751,2,0.5785,0.3845,0.208
801,2,0.5497,0.5227,0.2549
851,2,0.4218,0.4998,0.2436
901,2,0.5341,0.4009,0.2233
951,2,0.642,0.4046,0.2307
1001,2,0.5111,0.4789,0.2209
1051,2,0.4784,0.4256,0.2202
1101,2,0.5149,0.4797,0.2352
1151,2,0.538,0.4202,0.2255
1201,2,0.4786,0.3596,0.2133
1251,2,0.4264,0.4787,0.228
1301,2,0.5098,0.4828,0.2381
1351,2,0.4979,0.3745,0.214
1401,2,0.5058,0.4274,0.2285
1451,3,0.4609,0.4955,0.2353
1501,3,0.4611,0.5493,0.2522
1551,3,0.5122,0.43,0.218
1601,3,0.6409,0.4843,0.2524
1651,3,0.5538,0.422,0.2323
1701,3,0.4613,0.4005,0.216
1751,3,0.4738,0.3357,0.2033
1801,3,0.5047,0.4386,0.2179
1851,3,0.5093,0.3377,0.1878
1901,3,0.5381,0.452,0.2238
1951,3,0.5623,0.3845,0.224
2001,3,0.4785,0.3917,0.224
2051,3,0.4994,0.4,0.2061
2101,3,0.4573,0.4014,0.2138
2151,4,0.4827,0.3536,0.2101
2201,4,0.537,0.3761,0.2151
2251,4,0.4815,0.3674,0.2151
2301,4,0.4487,0.4097,0.216
2351,4,0.523,0.3488,0.2089
2401,4,0.4333,0.4483,0.2315
2451,4,0.4647,0.4522,0.2252
2501,4,0.5119,0.4158,0.2166
2551,4,0.4509,0.4127,0.2335
2601,4,0.4532,0.3564,0.2077
2651,4,0.5239,0.4379,0.222
2701,4,0.4914,0.3291,0.1849
2751,4,0.4687,0.3566,0.2096
2801,4,0.5343,0.3663,0.2123
2851,5,0.4551,0.3336,0.2025
2901,5,0.5059,0.3947,0.2326
2951,5,0.495,0.3815,0.2242
3001,5,0.5268,0.3545,0.2082
3051,5,0.4985,0.3823,0.2121
3101,5,0.4224,0.3379,0.1953
3151,5,0.5108,0.4028,0.2277
3201,5,0.5156,0.3706,0.2158
3251,5,0.4695,0.3436,0.2005
3301,5,0.4653,0.3469,0.1944
3351,5,0.4779,0.4054,0.2208
3401,5,0.5068,0.3835,0.2099
3451,5,0.5114,0.5066,0.2297
3501,5,0.4713,0.476,0.2161
3551,5,0.4931,0.4503,0.2278
3601,6,0.4812,0.3605,0.1958
3651,6,0.5314,0.3625,0.2118
3701,6,0.4181,0.383,0.2187
3751,6,0.4025,0.4088,0.1904
3801,6,0.5784,0.3841,0.2227
3851,6,0.4081,0.4239,0.2209
3901,6,0.4908,0.3704,0.2186
3951,6,0.5092,0.405,0.2179
4001,6,0.5046,0.3866,0.2164
4051,6,0.4219,0.4938,0.2475
4101,6,0.4144,0.3904,0.2013
4151,6,0.5024,0.3344,0.1948
4201,6,0.4258,0.4188,0.2124
4251,6,0.4761,0.3686,0.207
4301,7,0.485,0.3619,0.2037
4351,7,0.4078,0.398,0.2077
4401,7,0.4436,0.3924,0.2024
4451,7,0.4787,0.4308,0.2207
4501,7,0.4078,0.4153,0.2106
4551,7,0.4831,0.4069,0.2231
4601,7,0.4156,0.3631,0.2148
4651,7,0.4205,0.4496,0.2264
4701,7,0.422,0.3991,0.2301
4751,7,0.5258,0.4006,0.2171
4801,7,0.3885,0.4871,0.2248
4851,7,0.4202,0.3485,0.1954
4901,7,0.409,0.4307,0.2346
4951,7,0.4273,0.4323,0.2206
5001,8,0.5125,0.4236,0.2249
5051,8,0.4598,0.4232,0.2395
5101,8,0.4024,0.3984,0.2063
5151,8,0.4122,0.4337,0.2083
5201,8,0.472,0.3628,0.2044
5251,8,0.4526,0.368,0.2168
5301,8,0.4795,0.4039,0.2145
5351,8,0.4288,0.3427,0.2017
5401,8,0.4915,0.4639,0.2311
5451,8,0.4803,0.3923,0.2315
5501,8,0.4189,0.5234,0.2308
5551,8,0.3977,0.3465,0.2084
5601,8,0.4218,0.473,0.2253
5651,8,0.4287,0.4092,0.2178
5701,9,0.4375,0.4133,0.2134
