epoch,step,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
0,9,6.309052467346191,0.0078125,0.015625,,,
0,19,6.209844589233398,0.0,0.0234375,,,
0,29,5.892333030700684,0.0859375,0.1796875,,,
0,39,5.6480865478515625,0.0859375,0.1875,,,
0,49,5.272361755371094,0.109375,0.25,,,
0,59,4.811796188354492,0.171875,0.3671875,,,
0,69,4.268237113952637,0.2421875,0.4765625,,,
0,79,3.8097453117370605,0.359375,0.6328125,,,
0,89,3.521564245223999,0.3515625,0.6640625,,,
0,91,,,,3.284536123275757,0.46509772539138794,0.735540509223938
1,99,3.190964460372925,0.4921875,0.7265625,,,
1,109,2.9889180660247803,0.578125,0.796875,,,
1,119,2.72690486907959,0.578125,0.84375,,,
1,129,2.7982230186462402,0.5703125,0.765625,,,
1,139,2.577894926071167,0.6328125,0.8515625,,,
1,149,2.455885410308838,0.671875,0.8828125,,,
1,159,2.6946873664855957,0.5546875,0.84375,,,
1,169,2.358762264251709,0.734375,0.84375,,,
1,179,2.3498406410217285,0.671875,0.8671875,,,
1,183,,,,2.1835224628448486,0.7395293116569519,0.9138412475585938
2,189,2.0670716762542725,0.7890625,0.9296875,,,
2,199,2.058183193206787,0.78125,0.9453125,,,
2,209,1.7837270498275757,0.90625,0.9609375,,,
2,219,1.9884696006774902,0.75,0.9453125,,,
2,229,1.8855199813842773,0.828125,0.953125,,,
2,239,1.9098819494247437,0.8203125,0.9375,,,
2,249,1.907483696937561,0.78125,0.9375,,,
2,259,1.6369847059249878,0.90625,0.984375,,,
2,269,2.0844619274139404,0.7578125,0.9140625,,,
2,275,,,,1.8524963855743408,0.8244914412498474,0.9537295699119568
3,279,1.489996314048767,0.9609375,0.9921875,,,
3,289,1.631265640258789,0.90625,0.96875,,,
3,299,1.619553565979004,0.875,0.96875,,,
3,309,1.614117980003357,0.90625,0.9765625,,,
3,319,1.5699913501739502,0.8984375,0.9921875,,,
3,329,1.5686094760894775,0.890625,0.984375,,,
3,339,1.6290578842163086,0.8984375,0.9765625,,,
3,349,1.5825376510620117,0.921875,0.9765625,,,
3,359,1.5676193237304688,0.921875,0.96875,,,
3,367,,,,1.7207062244415283,0.849621057510376,0.9625049829483032
4,369,1.3573477268218994,0.984375,1.0,,,
4,379,1.3959898948669434,0.9453125,1.0,,,
4,389,1.4540570974349976,0.9453125,0.9921875,,,
4,399,1.3845210075378418,0.9453125,1.0,,,
4,409,1.4185291528701782,0.9296875,0.9921875,,,
4,419,1.3604686260223389,0.9453125,0.9921875,,,
4,429,1.3836897611618042,0.96875,1.0,,,
4,439,1.4865727424621582,0.9375,0.984375,,,
4,449,1.4222468137741089,0.9453125,1.0,,,
4,459,1.4239311218261719,0.9411764740943909,0.9803921580314636,,,
4,459,,,,1.6648939847946167,0.8619864583015442,0.9688870906829834
5,469,1.3610364198684692,0.96875,0.9921875,,,
5,479,1.3196141719818115,0.96875,0.9921875,,,
5,489,1.2750152349472046,0.9921875,0.9921875,,,
5,499,1.3543375730514526,0.9375,0.9921875,,,
5,509,1.30162513256073,0.96875,1.0,,,
5,519,1.3802369832992554,0.9375,0.9765625,,,
5,529,1.304903268814087,0.9765625,1.0,,,
5,539,1.3339626789093018,0.9609375,0.984375,,,
5,549,1.2927894592285156,0.9765625,1.0,,,
5,551,,,,1.6440494060516357,0.8795372843742371,0.9641005396842957
6,559,1.2743641138076782,0.9765625,1.0,,,
6,569,1.2496024370193481,0.9921875,1.0,,,
6,579,1.3151382207870483,0.953125,0.9921875,,,
6,589,1.2430588006973267,0.984375,1.0,,,
6,599,1.2751723527908325,0.9765625,0.9921875,,,
6,609,1.2565284967422485,0.9609375,1.0,,,
6,619,1.2686635255813599,0.9765625,0.9921875,,,
6,629,1.297483205795288,0.96875,0.9921875,,,
6,639,1.2870956659317017,0.9609375,1.0,,,
6,643,,,,1.61702561378479,0.8823294639587402,0.9644994139671326
7,649,1.288869857788086,0.9765625,0.9765625,,,
7,659,1.2106618881225586,0.9921875,1.0,,,
7,669,1.215641975402832,1.0,1.0,,,
7,679,1.3033473491668701,0.9453125,0.9921875,,,
7,689,1.235854148864746,0.9921875,0.9921875,,,
7,699,1.2061843872070312,0.984375,1.0,,,
7,709,1.2195966243743896,0.984375,1.0,,,
7,719,1.2127444744110107,0.9921875,1.0,,,
7,729,1.1882261037826538,1.0,1.0,,,
7,735,,,,1.5912671089172363,0.8883126974105835,0.9680893421173096
8,739,1.2092705965042114,0.984375,1.0,,,
8,749,1.1991031169891357,0.984375,1.0,,,
8,759,1.1833397150039673,0.9921875,1.0,,,
8,769,1.1781294345855713,0.984375,1.0,,,
8,779,1.1757121086120605,0.9921875,1.0,,,
8,789,1.198413610458374,0.9921875,1.0,,,
8,799,1.2139534950256348,0.984375,0.9921875,,,
8,809,1.1859679222106934,0.9921875,1.0,,,
8,819,1.1995282173156738,0.984375,1.0,,,
8,827,,,,1.5740878582000732,0.9006780982017517,0.9692860245704651
9,829,1.161614179611206,0.984375,1.0,,,
9,839,1.1888130903244019,1.0,1.0,,,
9,849,1.2124037742614746,0.96875,1.0,,,
9,859,1.148619532585144,0.9921875,0.9921875,,,
9,869,1.170056700706482,0.9921875,1.0,,,
9,879,1.173774003982544,0.9921875,1.0,,,
9,889,1.1390633583068848,0.9921875,1.0,,,
9,899,1.1768667697906494,0.984375,1.0,,,
9,909,1.1712907552719116,0.9765625,1.0,,,
9,919,1.2186990976333618,0.9803921580314636,1.0,,,
9,919,,,,1.5787334442138672,0.8974870443344116,0.9704826474189758
10,929,1.132525086402893,1.0,1.0,,,
10,939,1.1187593936920166,1.0,1.0,,,
10,949,1.1758606433868408,1.0,1.0,,,
10,959,1.1266027688980103,1.0,1.0,,,
10,969,1.1543890237808228,1.0,1.0,,,
10,979,1.1693819761276245,1.0,1.0,,,
10,989,1.123045563697815,1.0,1.0,,,
10,999,1.1316144466400146,0.9921875,1.0,,,
10,1009,1.1199902296066284,0.9921875,1.0,,,
10,1011,,,,1.5669089555740356,0.903071403503418,0.9708815217018127
11,1019,1.1267088651657104,0.9921875,1.0,,,
11,1029,1.1599725484848022,0.984375,0.9921875,,,
11,1039,1.166487693786621,0.984375,1.0,,,
11,1049,1.127191185951233,0.9921875,1.0,,,
11,1059,1.1205753087997437,1.0,1.0,,,
11,1069,1.1440929174423218,1.0,1.0,,,
11,1079,1.1650547981262207,0.9921875,0.9921875,,,
11,1089,1.1530482769012451,0.9921875,1.0,,,
11,1099,1.121187686920166,1.0,1.0,,,
11,1103,,,,1.555497646331787,0.902672529220581,0.9688870906829834
12,1109,1.139535665512085,0.9921875,1.0,,,
12,1119,1.1076772212982178,1.0,1.0,,,
12,1129,1.1215894222259521,1.0,1.0,,,
12,1139,1.1124958992004395,0.9921875,1.0,,,
12,1149,1.1072239875793457,1.0,1.0,,,
12,1159,1.1187872886657715,1.0,1.0,,,
12,1169,1.1355994939804077,0.9921875,1.0,,,
12,1179,1.1011725664138794,1.0,1.0,,,
12,1189,1.1644032001495361,0.9921875,0.9921875,,,
12,1195,,,,1.5453332662582397,0.9070602059364319,0.9704826474189758
13,1199,1.105347752571106,1.0,1.0,,,
13,1209,1.1099282503128052,1.0,1.0,,,
13,1219,1.0948013067245483,1.0,1.0,,,
13,1229,1.1008366346359253,1.0,1.0,,,
13,1239,1.1174359321594238,1.0,1.0,,,
13,1249,1.0911073684692383,1.0,1.0,,,
13,1259,1.0989092588424683,1.0,1.0,,,
13,1269,1.1208997964859009,1.0,1.0,,,
13,1279,1.112235426902771,1.0,1.0,,,
13,1287,,,,1.5487821102142334,0.9094535112380981,0.9708815217018127
14,1289,1.1021567583084106,0.9921875,1.0,,,
14,1299,1.1311644315719604,0.9921875,1.0,,,
14,1309,1.1091885566711426,1.0,1.0,,,
14,1319,1.0970330238342285,1.0,1.0,,,
14,1329,1.107988953590393,0.9921875,1.0,,,
14,1339,1.1293164491653442,0.9921875,1.0,,,
14,1349,1.1120126247406006,0.9921875,1.0,,,
14,1359,1.094415307044983,1.0,1.0,,,
14,1369,1.1153101921081543,0.984375,1.0,,,
14,1379,1.1166647672653198,1.0,1.0,,,
14,1379,,,,1.562103509902954,0.9034702777862549,0.9728759527206421
15,1389,1.1016994714736938,1.0,1.0,,,
